RED,GREEN,BLUE,NUMERO
111.236325,81.3279,72.54645,15242
94.94865,84.458625,55.102025,22785
100.919375,65.92475,37.4146,18025
167.6596,152.874775,124.471875,19752
136.91155,108.59965,96.732525,24057
93.637,93.638325,80.47475,19187
118.73315,99.519675,71.166425,17405
156.749125,129.70905,90.427,15754
113.454925,123.3273,125.17335,27436
136.7549,136.695375,137.0342,1185
67.931325,45.207,27.51015,14220
121.170925,106.537475,82.169425,30914
174.97715,192.38325,198.6032,17001
111.628525,80.465925,66.0221,13820
99.98895,89.8318,56.691725,18914
48.2586,84.5094,81.557575,16284
179.756575,173.408125,165.0479,19747
164.626175,150.3098,137.1986,10133
117.79415,119.437525,112.472675,23012
94.1304,45.790925,36.253475,14016
174.907675,169.0081,165.50475,3891
84.15335,76.659925,66.31815,18747
148.710675,147.368175,144.0734,24861
231.750875,213.340125,207.83535,14335
125.7089,111.926675,99.435325,22140
139.5628,127.556875,100.754575,14920
203.345175,192.27055,170.4246,18870
198.39435,199.4469,195.762375,8263
174.87825,168.412875,152.884825,16705
135.172925,117.903925,81.690875,25461
82.81305,61.325775,46.400475,15945
40.85605,27.83795,23.88905,13645
63.834775,37.211425,15.73485,13861
110.2271,105.117,108.297025,6628
190.394425,182.9402,182.8844,4132
87.117575,60.689725,51.1435,13115
48.74675,22.864325,38.069725,11727
104.880675,89.00715,72.7597,21392
132.56695,117.965875,98.018575,14960
167.70835,154.37495,153.589175,16176
88.78215,68.9406,47.991025,18067
156.624575,138.389225,139.1923,16667
73.923975,73.174725,63.577175,16080
43.83695,40.736925,31.046,13636
89.91295,84.4651,57.7412,17286
176.6066,163.708775,164.740375,14556
103.862575,98.757225,89.56715,26821
124.68505,129.319325,115.520375,21440
191.514775,192.101625,189.899675,1915
174.442675,137.0253,116.2811,24562
67.53265,45.180125,23.372025,11833
68.007075,68.0619,57.062125,7698
134.702025,134.165075,107.9655,25282
194.557825,166.7163,137.4873,6197
185.24835,185.24835,185.24835,256
46.365125,42.857075,23.983,9968
121.9782,119.802125,106.912375,15752
121.1804,104.08265,80.309,25648
90.67795,93.2568,85.961825,9641
180.46015,151.8697,119.732475,19811
162.0762,189.364175,179.13685,15127
98.138675,74.981775,42.759625,20349
124.575275,111.9585,81.800875,20107
131.2743,111.679625,82.23685,19194
83.973925,67.95705,37.204675,15009
201.047025,175.973625,146.010825,18796
109.552675,107.26825,97.57565,14331
75.6824,66.484475,40.448,22160
145.405725,145.405725,145.405725,256
150.919825,141.673825,122.46885,9186
155.728175,136.488025,129.710725,14059
96.373425,65.69635,64.5775,14567
135.2803,125.9837,117.0664,17154
127.07885,103.6658,87.44535,18043
97.651025,92.369675,83.818425,10131
121.297675,97.135325,96.35925,26055
176.8467,182.33175,177.97235,10734
175.942575,172.42475,124.13135,22657
129.495575,125.9154,124.243775,18872
158.426625,168.903125,151.220125,14656
72.4517,78.961025,79.422325,14448
